    Site of Sample,Date of Sample,Notes,Jar/Bag/Vial,IDer,Date of ID,Geometrid,Notodontid,Pyralid,Crambid,Pyraloidea,Erebid,Cossidae,Lasiocampid,Noctuid,Pterophoridae,Nolidae (2021 and 2022 they were counted as pyraloidea),Sphingid,Saturniidae,Species1 ,Species2,Species3 ,Species4,Small Lepidoptera,Total Lepidoptera,Unknown Lepidoptera,Coleoptera,Diptera,Hymenop:Bees,Hymenop:Ants,Hymenop:Wasps,Hymenop:Total,Hemiptera,Trichoptera,Thysanoptera,Neuroptera,Orthoptera,Ephemeroptera,Plecoptera,Dermaptera,Collembola,Protura,Psocodea,Raphidoptera,Phthiraptera,Megaloptera,Arachnids,Unknown
IRON01,6/24/2021,,JAR,Jesse Homza,n/a,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,46,46,0,1,37,0,1,19,20,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LONG01,8/11/2021,,JAR,Greta Holliday,n/a,0,0,2,1,3,0,0,0,5,0,-,1,0,1,0,0,0,5,14,0,2,17,0,3,6,9,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LONG04,8/11/2021,,JAR,Greta Holliday,n/a,3,0,4,1,5,6,0,0,17,0,-,0,0,0,0,6,0,8,39,0,2,10,0,20,9,29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VIZC04,8/10/2021,,JAR,Greta Holliday,n/a,15,0,13,14,27,5,0,0,59,3,-,1,0,1,0,1,3,48,158,0,0,135,0,3,17,20,41,17,6,0,0,0,0,0,0,0,1,0,0,0,1,0
LONG03,8/11/2021,,JAR,Greta Holliday,n/a,2,0,6,1,7,0,0,0,2,0,-,0,0,0,0,0,0,25,36,0,1,13,0,0,7,7,7,2,0,0,0,0,0,1,0,0,0,0,0,0,3,2
LONG05,8/11/2021,,JAR,Greta Holliday,n/a,0,0,2,2,4,6,0,0,20,0,-,0,0,0,0,0,5,24,54,0,1,15,2,5,5,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIZC01,8/12/2021,,JAR,Abigail Bower,n/a,13,16,0,2,2,0,0,2,89,23,-,0,0,0,0,0,5,5,169,0,2,96,0,1,10,308,4,19,0,0,0,0,12,0,0,0,0,0,0,0,0,0
VIZC03,8/10/2021,,JAR,Abigail Bower,n/a,8,7,1,0,1,2,0,0,54,5,-,1,0,1,0,1,1,11,82,0,0,12,0,3,4,7,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2
VIZC02,8/10/2021,,JAR,Greta Holliday,n/a,6,0,9,2,11,4,0,0,27,0,-,2,0,2,0,0,3,22,72,0,0,24,0,9,8,17,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IRON03,8/10/2021,,JAR,Greta Holliday,n/a,0,0,0,1,1,2,0,0,4,0,-,1,0,1,0,0,0,6,14,0,5,15,0,4,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LONG02,8/11/2021,2-Jan,JAR,Greta Holliday,n/a,34,3,16,31,47,3,0,0,60,5,-,0,0,0,0,1,0,1632,"1,784",0,19,244,0,53,42,95,202,16,3,1,1,0,1,0,0,0,0,0,0,0,4,1
LONG02,8/11/2021,2-Feb,JAR,Abigail Bower,n/a,5,6,0,0,0,9,,0,18,0,-,2,0,2,0,0,9,3,44,0,1,16,0,0,4,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,
IRON05,8/10/2021,,JAR,Greta Holliday,n/a,0,0,3,0,3,3,0,0,11,0,-,0,0,0,0,0,3,4,12,0,2,9,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIZC03,6/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,6/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,6/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC01,7/21/2021,,JAR,Jesse Homza,n/a,10,0,1,1,2,1,0,4,51,0,-,1,0,1,0,1,1,96,169,3,3,47,1,4,23,28,14,20,1,0,0,0,0,0,0,0,0,0,0,0,1,2
VIZC04,6/29/2021,,JAR,Greta Holliday,n/a,33,7,n/a,n/a,45,39,4,28,108,4,-,18,0,17,1,21,0,237,523,0,14,34,0,2,37,39,141,192,10,8,0,0,1,0,0,0,0,0,0,0,8,1
VIZC03,6/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON04,7/15/2021,,JAR,Greta Holliday,n/a,1,1,16,8,24,5,0,3,68,0,-,1,0,1,0,4,0,56,159,0,10,226,1,5,19,25,41,5,10,0,0,0,0,0,0,0,0,0,0,0,2,3
LONG04,7/8/2021,,JAR,Abigail Bower,n/a,31,99,17,13,30,4,3,6,203,0,-,10,0,11,0,3,0,32,503,1,2,1,0,2,30,32,1,12,0,0,0,0,11,0,0,0,0,0,0,0,0,31
LONG04,7/8/2021,Two separated days got to jars both labled and dated LONG 04 7/8/21. Rechecked both lables and they are both for this spot and this day but d not indicate 1/2,JAR,Abigail Bower,n/a,3,3,0,3,3,4,0,4,27,1,-,4,0,4,0,4,0,12,67,6,0,43,0,0,5,5,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,12
LONG04,7/15/2021,,JAR,Greta Holliday,n/a,9,2,8,26,34,2,1,11,161,1,-,1,0,1,0,2,0,100,323,5,4,63,0,15,17,32,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2
IRON02,7/15/2021,,JAR,Greta Holliday,n/a,3,3,3,2,5,13,0,4,45,1,-,2,0,1,0,3,1,18,94,0,0,25,1,3,8,12,2,2,3,0,0,0,0,0,0,0,0,0,1,0,2,0
IRON05,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,7/8/2021,**on 7/7/2023 I changed this date from 7/7/2021 to 7/8/2021 to match the jar,JAR,Greta Holliday,n/a,1,1,0,2,2,19,0,4,40,0,-,7,0,7,0,11,0,19,93,0,1,50,0,0,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IRON05,7/15/2021,,JAR,Greta Holliday,n/a,6,3,n/a,n/a,25,28,1,12,72,1,-,1,0,1,0,24,0,105,254,1,6,33,0,2,36,38,26,8,669,0,0,0,0,0,0,0,0,0,0,0,2,1
IRON06,7/8/2021,,JAR,Greta Holliday,n/a,12,3,2,5,7,3,1,7,41,2,-,3,0,3,0,0,0,57,140,4,1,137,0,0,30,30,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LONG02,7/15/2021,,JAR,Greta Holliday,n/a,1,0,1,2,3,7,0,7,21,1,-,0,0,0,0,4,0,6,41,0,3,3,0,1,3,4,3,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0
VIZC03,7/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON05,8/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON04,8/4/2021,"Tag inside says 08/05, outside says 04, all others say 8/4--- ASK",JAR,Greta Holliday,n/a,17,3,20,41,61,3,0,0,37,12,-,0,0,0,0,1,2,497,630,0,48,502,0,191,48,239,339,18,8,1,1,2,1,0,0,0,0,0,0,0,49,5
IRON01,8/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01/03,8/4/2021,"Tag says Iron 01, bottle says Iron 03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,8/4/2021,"Tag inside did not say date, tag with date added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,8/4/2021,"Tag inside says 8/04, label on jar says 8/05,",JAR,Greta Holliday,n/a,68,2,48,34,82,17,0,0,55,10,-,0,0,0,0,0,16,711,945,0,80,197,0,63,74,138,295,13,55,3,1,0,0,0,0,0,0,0,0,0,7,34
LONG03/02,8/4/2021,"Tag inside says 8/04, label on jar says 8/05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,8/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,7/12/2021,Maybe this is a typo? There is a IRON03 7/15/21 jar (I'm going to add this to the bottom of the document),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC01,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,8/9/2021,Tag says08/09 but the jar says 7/9--ID'ed jar says 7/9,JAR,Greta Holliday,n/a,4,1,1,8,9,14,0,15,149,1,-,12,0,11,1,14,0,29,234,2,1,10,0,0,6,6,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
IRON04,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC03,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,7/8/2021,"Tag says long 01, jar says long 02",JAR,Abigail Bower,n/a,1,0,0,0,0,0,0,0,2,0,-,0,0,0,0,0,0,6,57,47,3,13,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96
VIZC04,7/18/2021,"SLUDGE, barely anything was identifable ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,7/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,7/16/2021,"Tag says 7/15, jar says 7/16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,7/15/2021,Lots of moths without heads and/or wings,JAR,Abigail Bower,n/a,35,66,14,39,53,42,3,17,91,2,-,12,0,12,0,42,0,36,373,2,4,9,0,1,30,31,4,20,0,0,0,0,15,0,0,0,0,0,0,0,0,34
VIZC01,7/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,6/22/2021,wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,6/22/2021,wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO,5-Aug,Wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON05,6/24/2021,Wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,6/24/2021,Wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,6/24/2021,Wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,6/22/2021,wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV1,7/29/2020,wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO,8/5/2020,No tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV1 ,7/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV3,7/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV3,7/28/2020,jar says ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2022,Empty Jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO-UV3,8/5/2020,Two Jars in one bag with the same label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV5,7/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV1,7/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO- UV2,3/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO- UV2,8/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO- UV2,8/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO,8/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-UV1,7/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-UV4,7/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV3,7/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top of Iron mine UV6,7/28/2020,NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-UV2,7/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Canyon 5,7/29/2020,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,6/22/2021,Vial,wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,7/29/2020,Vial,Geometridae,Needs ethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Noctuidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,noctuidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,noctuidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Laseocampidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV 2,7/29/2020,Vial,Trichoptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Diptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Hemiptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Hymen:W,Needs ethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Pyraloidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,sphingidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV,7/29/2020,Vial,nototidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Pterophoridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Erebidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV2,7/29/2020,Vial,Thrips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,8/4/2021,couldn't find this jar listed above,JAR,Greta Holliday,n/a,26,2,11,47,58,0,0,0,58,7,-,0,0,0,0,0,0,326,478,0,82,502,0,200,41,242,343,24,22,5,0,0,0,0,4,0,0,0,0,0,8,10
IRON06,8/10/2021,couldn't find this jar listed above,JAR,Greta Holliday,n/a,3,0,2,0,2,0,0,0,2,0,-,1,0,1,0,0,0,7,15,0,0,14,0,3,4,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
IRON03,7/15/2021,couldn't find this jar listed above,JAR,Greta Holliday,n/a,5,3,2,12,14,10,0,7,75,14,-,1,0,1,0,8,1,42,171,2,1,32,0,0,14,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
LONG02,7/8/2021,couldn't find this jar listed above,JAR,Greta Holliday,n/a,9,1,3,7,10,24,0,10,138,1,-,16,0,15,1,12,0,44,253,3,4,36,0,0,8,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4
IRON01,7/15/2021,couldn't find this jar listed above,JAR,Abigail Bower,n/a,7,3,3,7,10,11,1,2,54,7,-,0,0,0,0,11,0,57,151,1,0,16,0,0,34,34,6,2,0,0,0,0,8,0,0,0,0,0,0,0,0,4
LONG01,7/15/2021,couldn't find this jar listed above,JAR,Abigail Bower,n/a,6,9,1,0,1,16,0,1,84,5,-,4,0,4,0,16,0,30,162,3,0,48,0,5,6,12,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3
VIZC01,7/18/2022,couldn't find this jar listed above,JAR,Jesse Homza,n/a,0,1,0,0,0,4,1,0,23,0,-,16,0,14,2,2,0,15,62,0,1,79,1,0,11,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VIZC01,6/28/2021,couldn't find this jar listed above,JAR,Greta Holliday,n/a,12,1,n/a,n/a,48,21,4,11,134,4,-,10,0,10,0,17,0,126,371,0,4,42,0,4,35,39,8,27,23,0,0,0,0,0,0,0,0,0,0,0,4,3
IRON01,8/10/2021,"couldn't find this jar listed above, ants ate the moth bodies",JAR,Greta Holliday,n/a,2,0,n/a,n/a,7,5,0,0,2,0,-,0,0,0,0,0,5,20,36,21,2,19,0,1,13,14,10,2,7,0,0,0,0,0,0,0,0,0,0,0,2,1
VIZC02,7/18/2022,,JAR,Jesse Homza,n/a,0,1,2,0,2,10,0,2,57,0,-,6,0,5,1,1,0,39,117,0,4,153,0,0,8,8,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
